BindingDB MonomerID,Ligand SMILES,IC50 (nM)
50008590,[O-]S(=O)(=O)c1ccc(NC(=O)C(CS)Cc2ccccc2)cc1, 1.7
50105264,C[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1)C([O-])=O, 1.7
50051794,Nc1ccc(C[C@H](S)C(=O)NCC(=O)N2[C@@H](CC[C@@H]2c2ccccc2)C(O)=O)cc1, 1.8
50048304,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(O)=O, 1.8
50018216,ONC(=O)CC(Cc1ccccc1)C(=O)NCC(Cc1ccccc1)C(O)=O, 1.8
50085460,ON(C[C@@H](Cc1ccccc1)C(=O)N[C@H]1Cc2ccccc2[C@H]2CCC[C@H](N2C1=O)C(O)=O)C=O, 1.8
50034851,OC(=O)CCNC(=O)[C@H](Cc1ccc(cc1)-c1ccccc1)NCP(O)(O)=O, 1.9
50024102,OC(=O)CNC(=O)[C@@H](CS)Cc1ccccc1, 1.9
50024102,OC(=O)CNC(=O)[C@@H](CS)Cc1ccccc1, 1.9
50024102,OC(=O)CNC(=O)[C@@H](CS)Cc1ccccc1, 1.9
50344197,COCC[C@H](NC1(CCCC1)C(=O)N[C@@H](Cc1nc(no1)-c1ccccc1)C(O)=O)C(O)=O, 1.9
50373665,CC(C)CN(CP(O)(O)=O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(O)=O, 2
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 2.0
50509666,C[C@@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)CCC(O)=O)C(O)=O, 2.0
50282855,CCC[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1CCC[C@H]1C(O)=O, 2
50283642,CC[C@@H](C)[C@H](NCP(O)(O)=O)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O, 2
50020158,CC(NC(=O)C(CC(=O)NO)Cc1ccccc1)C(O)=O, 2
50042835,OC(=O)[C@@H]1CCCN1C(=O)C1CCCCCCC(CS)C(=O)N1, 2
50040401,OC(=O)[C@@H](NC(=O)C(Cc1ccc(cc1)-c1ccccc1)NCP(O)(O)=O)c1ccccc1, 2
50048303,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(O)=O, 2
50041058,CC(NC(=O)C(CS)C(C)c1ccc2OCOc2c1)C(O)=O, 2
50041067,CC(NC(=O)C(CS)C(C)c1ccc(F)cc1)C(O)=O, 2
50041069,OC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CS)Cc1ccccc1, 2
50251742,CC(C)C[C@H](NP(O)(=O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O, 2
50039541,Cc1ccc(CSC[C@@H](NC(=O)[C@@H](CS)Cc2cccc3ccccc23)C(O)=O)cc1, 2
50039499,COc1ccc(CSC[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)C(O)=O)cc1, 2
50034851,OC(=O)CCNC(=O)[C@H](Cc1ccc(cc1)-c1ccccc1)NCP(O)(O)=O, 2
50035235,CC(C)C[C@H](C(=O)NO)C(=O)N[C@@H](C)C(=O)NCC(N)=O, 2
50035249,CC(C)CC(C(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O, 2
50251742,CC(C)C[C@H](NP(O)(=O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O, 2
50035239,CC(C)C(C(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O, 2
50035236,CC(C)C(C(=O)NO)C(=O)NCCC(O)=O, 2
85431,OC(=O)c1cc(NC(=O)C(CS)Cc2ccccc2)cs1, 2
85433,OC(=O)c1cc(NC(=O)C(CS)Cc2ccccc2)c[nH]1, 2
85434,OC(=O)c1cc(NC(=O)C(CS)Cc2ccc(Cl)cc2)c[nH]1, 2
50017736,OC(=O)CCC(=O)NC(C[C@@H](Cc1ccccc1)C(O)=O)Cc1ccccc1, 2
50407297,C[C@H](NC(=O)[C@H](CS)[C@@H](C)c1ccccc1)C(O)=O, 2
50048314,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O, 2.1
50403261,OC(=O)CN1c2ccccc2CC[C@H](NC(=O)[C@@H](CS)Cc2ccccc2)C1=O, 2.1
50050138,CC(C)C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 2.2
50048315,COc1ccc(C[C@H](NC(=O)C2(CCCC2)NC(=O)[C@@H](S)C(C)C)C(O)=O)cc1, 2.2
50051796,COc1ccc(C[C@H](S)C(=O)NCC(=O)N2[C@@H](CC[C@@H]2c2ccccc2O)C(O)=O)cc1, 2.2
50008603,OS(=O)(=O)CNC(=O)C(CS)Cc1ccccc1, 2.2
50282848,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1Cl)C(=O)N1CCC[C@@H]1C(O)=O, 2.2
50403251,OC(=O)CCN1c2ccccc2SC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O, 2.2
50051804,Cc1cccc(c1)[C@H]1CC[C@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccccc1)C(O)=O, 2.3
50286907,OC(=O)CC[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)NCC(O)=O, 2.3
50018220,CC(CNC(=O)C(CC(=O)NO)Cc1ccccc1)C(O)=O, 2.3
50050128,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](S)Cc1ccccc1)C(O)=O, 2.3
50024095,OC(=O)CC(=O)N[C@H](CS)Cc1ccccc1, 2.3
50197517,COCC[C@H](CC1(CCCC1)C(=O)NCCCc1ccc(Cl)cc1)C(O)=O, 2.3
50403258,OC(=O)CCN1c2ccccc2CC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O, 2.4
50018212,ONC(=O)CC(Cc1ccccc1)C(=O)NCCC(O)=O, 2.4
50041070,CCC(C(CS)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)c1ccccc1, 2.4
50039530,CCSC[C@@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O, 2.4
50051790,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccccc1)c1cccc(O)c1, 2.4
138393,C[C@H](N[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)C(=O)Nc1cc(O)no1)C(O)=O, 2.4
50008591,CC(C)CC(CS)C(=O)Nc1cccc(c1)S([O-])(=O)=O, 2.4
50039537,CCCC(CS)C(=O)N[C@H](CCSC)C(O)=O, 2.5
50291556,OP(O)(=O)C(Cc1ccc2OCOc2c1)N[C@H](Cc1ccc(cc1)-c1ccccc1)c1nnn[nH]1, 2.5
50041054,CC(C(CS)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)c1ccccc1, 2.5
50051799,COc1ccc(C[C@H](S)C(=O)NCC(=O)N2[C@@H](CC[C@@H]2c2ccccc2OC)C(O)=O)cc1, 2.5
50503907,CCCCc1nc(Cl)c(CNC(=O)[C@H](S)CC(C)C)n1Cc1ccc(cc1)-c1ccccc1C(O)=O, 2.5
50041062,COc1ccc(cc1)C(C)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(O)=O, 2.5
50367821,ONC(=O)C[C@H](Cc1ccccc1)NC(=O)CC(O)=O, 2.5
50018218,ONC(=O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)=O, 2.5
50018218,ONC(=O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)=O, 2.5
50008599,Cc1ccc(CC(CS)C(=O)Nc2cccc(c2)S([O-])(=O)=O)cc1, 2.5
50048305,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1ccsc1)C(O)=O, 2.6
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 2.6
50282845,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1[C@@H](Cc2ccccc12)C(O)=O, 2.6
50084897,OC(=O)[C@H](Cc1ccc2c(c1)oc1ccccc21)NC(=O)[C@H](Cc1ccc2c(c1)oc1ccccc21)NCP(O)(O)=O, 2.7
50407847,Cc1ccccc1[C@H]1CC[C@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)C(O)=O, 2.7
50286905,CC(NC(=O)[C@@H](CC(COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1)C(O)=O, 2.8
50286905,CC(NC(=O)[C@@H](CC(COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1)C(O)=O, 2.80
50050153,CCCC[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 2.8
50050160,OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](S)Cc1ccccc1, 2.9
50405952,ONC(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(O)=O)c1ccccc1, 2.9
50405949,ONC(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@H](CC(O)=O)Cc1ccccc1, 3
50405951,ONC(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](CC(O)=O)c1ccccc1, 3
50056251,OC(=O)[C@@H]1CCCCCc2ccccc2C[C@@H](CS)C(=O)N1, 3
50403280,OC(=O)[C@@H]1CCCN2CCC[C@H](NC(=O)[C@@H](S)Cc3ccccc3)C(=O)N12, 3
50042827,OC(=O)C1CCCCCCC(CS)C(=O)N1, 3
50042827,OC(=O)C1CCCCCCC(CS)C(=O)N1, 3.00
50085459,CC(C)[C@H](NCP(O)(O)=O)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O, 3
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 3
50040409,C[C@H](NC(=O)C(Cc1ccc(cc1)-c1ccccc1)NCP(O)(O)=O)C(O)=O, 3
50048310,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1ccccn1)C(O)=O, 3
50048317,OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C1(CCCC1)NC(=O)[C@@H](S)Cc1ccccc1, 3
50056249,OC(=O)[C@@H]1CCCCCc2ccccc2C[C@H](CS)C(=O)N1, 3
50056249,OC(=O)[C@@H]1CCCCCc2ccccc2C[C@H](CS)C(=O)N1, 3
50085459,CC(C)[C@H](NCP(O)(O)=O)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O, 3
50039508,OC(=O)[C@@H](CSCc1ccccc1)NC(=O)[C@@H](CS)Cc1ccc(Cl)cc1, 3
50035240,CC(C)C(C(=O)NO)C(=O)NCC(O)=O, 3
50035239,CC(C)C(C(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O, 3
50050143,CC[C@H](C)[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 3
85429,OC(=O)c1ccnc(NC(=O)C(CS)Cc2ccccc2)c1, 3
50008618,Cc1ccc(CC(CS)C(=O)NCCS([O-])(=O)=O)cc1, 3.1
50041061,CCCCC(NC(=O)C(CS)C(C)c1ccccc1)C(O)=O, 3.1
50048316,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1cccnc1)C(O)=O, 3.1
50403252,OC(=O)CN1c2ccccc2OC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O, 3.1
50503873,CCCCc1nc(CC)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(cc1)-c1ccccc1C(O)=O, 3.2
50008589,COc1ccc(CC(CS)C(=O)Nc2ccc(cc2)S([O-])(=O)=O)cc1, 3.2
50051805,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@H](S)Cc1ccccc1)c1ccccc1, 3.2
50286906,OC(=O)CNC(=O)[C@@H](C[C@@H](COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1, 3.2
50503897,CCOc1nc(CC)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(c(F)c1)-c1ccccc1C(O)=O, 3.2
50286906,OC(=O)CNC(=O)[C@@H](C[C@@H](COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1, 3.2
50286906,OC(=O)CNC(=O)[C@@H](C[C@@H](COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1, 3.2
50287301,OC(=O)Cc1csc(NC(=O)[C@@H](C[C@H](COc2ccccc2)C(O)=O)Cc2ccc(cc2)-c2ccccc2)n1, 3.3
50051787,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)c1ccccc1, 3.4
50051789,COc1ccccc1[C@H]1CC[C@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)C(O)=O, 3.4
50050141,CC[C@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 3.5
50039515,CSCC[C@@H](NC(=O)[C@H](CS)Cc1ccccc1)C(O)=O, 3.5
50039509,CSCC[C@@H](NC(=O)C1(CS)CCCC1)C(O)=O, 3.5
50041053,CC(NC(=O)C(CS)C(C)c1ccc(F)c(F)c1)C(O)=O, 3.5
50051780,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)c1ccccc1O, 3.5
50008623,[O-]S(=O)(=O)CCNC(=O)C(CS)Cc1ccc(F)cc1, 3.5
50041059,CC(C)CC(NC(=O)C(CS)C(C)c1ccccc1)C(O)=O, 3.5
50038623,CC(C)CC(S)C(Cc1ccccc1)C(=O)NC(C)C(O)=O, 3.6
50406747,CC(C)C[C@H](S)[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(O)=O, 3.6
50050152,CC(C)[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 3.6
50197513,COCC[C@H](CC1(CCCC1)C(=O)NC1(CO)Cc2ccccc2C1)C(O)=O, 3.7
50020156,ONC(=O)CC(Cc1ccccc1)NC(=O)C(Cc1ccccc1)C(O)=O, 3.7
50050151,C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N1CCCC1C(O)=O, 3.8
50282851,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1Cc2ccccc2C[C@H]1C(O)=O, 3.9
50024102,OC(=O)CNC(=O)[C@@H](CS)Cc1ccccc1, 4
50373657,CC(C)CN(C[C@H](O)C(O)=O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(O)=O, 4
50283637,CC(C)[C@H](NCP(O)(O)=O)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 4
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 4
50017734,OC(=O)[C@@H](C[C@@H](Cc1ccccc1)C(=O)NC(CSCc1ccccc1)C(O)=O)Cc1ccccc1, 4
50017755,OC(=O)CNC(=O)[C@@H](C[C@@H](Cc1ccccc1)C(O)=O)Cc1ccccc1, 4
50040405,OC(=O)CCNC(=O)C(Cc1ccc(cc1)-c1ccccc1)NCP(O)(O)=O, 4
50041066,CC(C(CS)C(=O)NC(COCc1ccccc1)C(O)=O)c1ccccc1, 4
50041063,CCCC(NC(=O)C(CS)C(C)c1ccccc1)C(O)=O, 4
50056251,OC(=O)[C@@H]1CCCCCc2ccccc2C[C@@H](CS)C(=O)N1, 4
50056259,OC(=O)[C@@H]1CCCCCCc2cccc(C[C@H](CS)C(=O)N1)c2, 4
50056251,OC(=O)[C@@H]1CCCCCc2ccccc2C[C@@H](CS)C(=O)N1, 4
50039538,CSCC[C@@H](NC(=O)C(CS)Cc1ccccc1)C(O)=O, 4
50050140,C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(O)=O, 4
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 4
50050142,CC[C@@H](C)[C@H](NC(=O)[C@@H](S)C(C)OCc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 4.1
50251742,CC(C)C[C@H](NP(O)(=O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O, 4.2
50251742,CC(C)C[C@H](NP(O)(=O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O, 4.2
50051795,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1cccc(O)c1)c1cccc(O)c1, 4.3
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 4.3
50008609,COc1ccc(CC(CS)C(=O)NCCS([O-])(=O)=O)cc1, 4.4
50008600,[O-]S(=O)(=O)CCNC(=O)[C@H](CS)Cc1ccccc1, 4.4
50002018,CC(C)C[C@@H](NC(=O)C(CS)Cc1ccccc1)C(O)=O, 4.5
130355,COc1ccccc1-c1ccc(C[C@H](CC(O)=O)NC(=O)CCC(O)=O)cc1, 4.5
50050145,CC[C@H](C)[C@H](NC(=O)[C@@H](S)c1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 4.5
50197519,COCC[C@H](CC1(CCCC1)C(=O)NCCCc1ccc(F)cc1)C(O)=O, 4.6
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 4.8
50291561,OP(O)(=O)C(Cc1cccc2ccccc12)N[C@@H](Cc1ccc(cc1)-c1ccccc1)c1nnn[nH]1, 4.8
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 4.8
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 4.8
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 4.8
50344192,COCC[C@H](NC1(CCCC1)C(=O)N[C@@H](Cc1nc(co1)-c1ccccc1)C(O)=O)C(O)=O, 4.8
50608290,O.O.[Na+].[Na+].[Na+].CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CCC([O-])=O.CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nnn[n-]1)[C@@H](C(C)C)C([O-])=O, 5.0
50064109,OP(O)(=O)C(CCc1cccc2ccccc12)N[C@@H](Cc1ccc(cc1)-c1ccccc1)c1nnn[nH]1, 5
50064109,OP(O)(=O)C(CCc1cccc2ccccc12)N[C@@H](Cc1ccc(cc1)-c1ccccc1)c1nnn[nH]1, 5
50373663,CC(C)(C)CN(C[C@H](O)C(O)=O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(O)=O, 5
50034842,C[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CCC(O)=O)C(O)=O, 5.00
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 5
50017741,OC(=O)[C@@H](C[C@@H](Cc1ccccc1)C(=O)NC(CCc1ccccc1)C(O)=O)Cc1ccccc1, 5
50040411,OC(=O)CNC(=O)C(Cc1ccc(cc1)-c1ccccc1)NCP(O)(O)=O, 5
50048308,CC(C)[C@H](S)C(=O)NC1(CC1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 5
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 5
50344194,COCC[C@H](NC1(CCCC1)C(=O)N[C@@H](Cc1nc(C)c(o1)-c1ccccc1)C(O)=O)C(O)=O, 5
50039516,CCSCC[C@@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O, 5
50034846,C[C@H](C[C@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CCC(O)=O)C(O)=O, 5
50035237,CC(C)C(CC(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O, 5.00
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 5
50034842,C[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CCC(O)=O)C(O)=O, 5
85428,OC(=O)c1cncc(NC(=O)C(CS)Cc2ccccc2)c1, 5
85435,COc1cccc(CC(CS)C(=O)Nc2c[nH]c(c2)C(O)=O)c1, 5
85438,CN(C)C(=O)c1ccnc(NC(=O)C(CS)Cc2ccccc2)c1, 5
50008622,[O-]S(=O)(=O)c1ccc(NC(=O)C(CS)Cc2ccc(F)cc2)cc1, 5
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 5
50017733,OC(=O)CCNC(=O)[C@@H](C[C@@H](Cc1ccccc1)C(O)=O)Cc1ccccc1, 5
50407845,Cc1ccccc1[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)C(O)=O, 5.1
50008607,CC(C)CC(CS)C(=O)NCCS([O-])(=O)=O, 5.2
50048311,OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C1(CCCC1)NC(=O)C1(S)CCCC1, 5.2
50041057,CC(C(CS)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)c1ccc(F)c(F)c1, 5.2
50403255,C[C@@H]1Oc2ccccc2N(CC(O)=O)C(=O)[C@H]1NC(=O)[C@@H](S)Cc1ccccc1, 5.2
50369209,CC[C@H](C)[C@H](S)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 5.3
50051778,Cc1ccccc1[C@H]1CC[C@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccccc1)C(O)=O, 5.3
50034846,C[C@H](C[C@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CCC(O)=O)C(O)=O, 5.3
50051782,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)C(S)Cc1ccc(F)cc1)c1cccc(O)c1, 5.3
50050150,C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N1C(CC2CCCCC12)C(O)=O, 5.3
50509647,CCc1cccc(c1)-c1ccc(C[C@H](CC(O)=O)NC(=O)CCC(O)=O)cc1, 5.4
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 5.4
50008620,[O-]S(=O)(=O)CCCNC(=O)C(CS)Cc1ccccc1, 5.4
50197517,COCC[C@H](CC1(CCCC1)C(=O)NCCCc1ccc(Cl)cc1)C(O)=O, 5.4
50051786,Cc1ccc(cc1)[C@H]1CC[C@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)C(O)=O, 5.5
85430,OC(=O)c1ccnc(NC(=O)C(CS)Cc2ccc3OCOc3c2)c1, 5.5
50369208,CC[C@H](C)[C@H](NC(=O)[C@]12CC[C@H]([C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)=C)C(O)=O, 5.5
50024101,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O, 5.7
50286908,OC(=O)CNC(=O)[C@@H](C[C@H](COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1, 5.9
50286908,OC(=O)CNC(=O)[C@@H](C[C@H](COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1, 5.9
50041064,CC(C(CS)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)c1ccc(F)cc1, 5.9
50286906,OC(=O)CNC(=O)[C@@H](C[C@@H](COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1, 5.9
50373661,CC(C)CN(CCP(O)(O)=O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(O)=O, 6
50373668,CC(C)CN(C[C@H](O)C(O)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 6
50048512,OC(=O)CN1c2ccccc2CC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O, 6
50048512,OC(=O)CN1c2ccccc2CC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O, 6
50034842,C[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CCC(O)=O)C(O)=O, 6.0
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 6
50017752,OC(=O)[C@@H](C[C@@H](Cc1ccccc1)C(=O)NC(COCc1ccccc1)C(O)=O)Cc1ccccc1, 6
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 6
50048512,OC(=O)CN1c2ccccc2CC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O, 6
50344196,COCC[C@H](NC1(CCCC1)C(=O)N[C@@H](Cc1nnc(o1)-c1ccccc1)C(O)=O)C(O)=O, 6
50251742,CC(C)C[C@H](NP(O)(=O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O, 6
50197507,COCC[C@H](CC1(CCCC1)C(=O)N[C@@H]1C[C@H]1c1ccc(OC)cc1)C(O)=O, 6.1
50048512,OC(=O)CN1c2ccccc2CC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O, 6.1
50282852,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1C)C(=O)N1CCC[C@@H]1C(O)=O, 6.2
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1, 6.2
50041052,CCC(NC(=O)C(CS)C(C)c1ccccc1)C(O)=O, 6.3
50048322,CC(C)[C@H](S)C(=O)NC1(CCOCC1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O, 6.4
50051798,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)c1ccc(O)cc1, 6.4
50039504,CCSC[C@@H](NC(=O)C(CS)Cc1ccccc1)C(O)=O, 6.5
50039523,CSCC[C@@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O, 6.5
50282862,CC(C)C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O, 6.6
50282847,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1, 6.6
50282861,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1CCC[C@H]1C(O)=O, 6.6
50282861,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1CCC[C@H]1C(O)=O, 6.6
130354,OC(=O)CCC(=O)N[C@@H](CC(O)=O)Cc1ccc(cc1)-c1cccc(F)c1, 6.7
50159369,OP(O)(=O)C(Cc1ccc2ccccc2c1)N[C@@H](Cc1ccc(cc1)-c1ccccc1)c1nnn[nH]1, 6.9
50509655,OC(=O)CCC(=O)N[C@@H](CC(O)=O)Cc1ccc(cc1)-c1cccc(c1)C#N, 6.9
50035249,CC(C)CC(C(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O, 7
50039529,CSCC[C@@H](NC(=O)[C@@H](CS)Cc1ccccc1C)C(O)=O, 7
50056247,OC(=O)[C@@H]1CCCCc2ccccc2C[C@@H](CS)C(=O)N1, 7
50056247,OC(=O)[C@@H]1CCCCc2ccccc2C[C@@H](CS)C(=O)N1, 7
